DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,201695,63354,171083,12136,0,728,29611,3580,sikoku,34.34794313,134.0501999
2019/5/1,196588,65484,177279,19359,0,1428,35232,3253,sikoku,34.34794313,134.0501999
2019/6/1,207996,63358,194579,30272,0,720,29544,2683,sikoku,34.34794313,134.0501999
2019/7/1,238927,65472,249851,49990,0,1391,25254,2490,sikoku,34.34794313,134.0501999
2019/8/1,251200,65439,257691,47865,0,1398,27973,2298,sikoku,34.34794313,134.0501999
2019/9/1,232262,63316,223472,41677,0,4577,29324,2686,sikoku,34.34794313,134.0501999
2019/10/1,213671,65411,218112,32808,0,5188,24583,3933,sikoku,34.34794313,134.0501999
2019/11/1,210126,63345,211818,15245,0,4509,22958,3776,sikoku,34.34794313,134.0501999
2019/12/1,240033,52651,269607,11140,0,4083,17422,4980,sikoku,34.34794313,134.0501999
2020/1/1,242916,0,296667,14945,0,4255,18812,5908,sikoku,34.34794313,134.0501999
2020/2/1,233388,0,270566,21561,0,4631,23730,5069,sikoku,34.34794313,134.0501999
2020/3/1,226393,0,245497,26831,0,4950,30213,4987,sikoku,34.34794313,134.0501999
2020/4/1,203022,0,205222,34343,0,5035,38970,4514,sikoku,34.34794313,134.0501999
2020/5/1,190320,0,182138,23613,0,6073,38733,3248,sikoku,34.34794313,134.0501999
2020/6/1,210470,0,221915,34958,0,5210,32115,2734,sikoku,34.34794313,134.0501999
2020/7/1,231133,0,236840,51050,0,9790,26495,3348,sikoku,34.34794313,134.0501999
2020/8/1,269702,0,283408,29135,0,9983,43348,2378,sikoku,34.34794313,134.0501999
2020/9/1,217300,0,268097,40980,0,8863,27213,2815,sikoku,34.34794313,134.0501999
2020/10/1,200200,0,247456,30693,0,8927,28461,3766,sikoku,34.34794313,134.0501999
2020/11/1,202412,0,261990,16311,0,8903,23725,4409,sikoku,34.34794313,134.0501999
2020/12/1,247591,0,269212,10398,0,8065,22220,6219,sikoku,34.34794313,134.0501999
2021/1/1,265031,0,243618,11291,0,8615,22880,6055,sikoku,34.34794313,134.0501999
2021/2/1,223397,0,210472,12869,0,7898,29726,5190,sikoku,34.34794313,134.0501999
2021/3/1,222613,0,194853,27022,0,7956,35302,5014,sikoku,34.34794313,134.0501999
2021/4/1,200630,0,176789,23267,0,7608,40648,4350,sikoku,34.34794313,134.0501999
2021/5/1,196152,0,188352,39112,0,7367,34003,3861,sikoku,34.34794313,134.0501999
2021/6/1,186118,63372,164987,17241,0,1291,33980,3170,sikoku,34.34794313,134.0501999
2021/7/1,243482,0,253400,32054,0,8620,38845,1735,sikoku,34.34794313,134.0501999
2021/8/1,242823,0,249104,43674,0,8787,31944,3405,sikoku,34.34794313,134.0501999
2021/9/1,215527,0,175699,36485,0,8337,28713,1994,sikoku,34.34794313,134.0501999
2021/10/1,210558,0,217279,14148,0,7484,33089,3127,sikoku,34.34794313,134.0501999
2021/11/1,211336,0,227928,13775,0,7479,25726,4405,sikoku,34.34794313,134.0501999
2021/12/1,246542,47275,247054,16078,0,7315,24780,5962,sikoku,34.34794313,134.0501999
2022/1/1,267562,65458,268220,7947,0,8678,25478,6436,sikoku,34.34794313,134.0501999
2022/2/1,246874,59798,244044,7221,0,7983,30674,5991,sikoku,34.34794313,134.0501999
2022/3/1,227425,65858,218920,11069,0,8628,37926,4399,sikoku,34.34794313,134.0501999
2022/4/1,196784,63301,137864,15137,0,7516,40425,2946,sikoku,34.34794313,134.0501999
2022/5/1,192327,65472,123951,22020,0,7177,42461,2092,sikoku,34.34794313,134.0501999
2022/6/1,220044,63307,188861,20049,0,8013,41004,3145,sikoku,34.34794313,134.0501999
2022/7/1,254006,65472,256589,36973,0,8407,39687,3265,sikoku,34.34794313,134.0501999
2022/8/1,264418,65321,255888,24536,0,7472,42623,2029,sikoku,34.34794313,134.0501999
2022/9/1,226617,63133,231255,37852,0,6949,32024,3280,sikoku,34.34794313,134.0501999
2022/10/1,208132,65198,201117,20381,0,12719,34073,3960,sikoku,34.34794313,134.0501999
2022/11/1,204385,63358,185084,10103,0,11133,27909,4703,sikoku,34.34794313,134.0501999
2022/12/1,254993,65422,241437,10267,0,11799,23945,7402,sikoku,34.34794313,134.0501999
2023/1/1,261992,65472,230969,11007,0,11936,26771,6562,sikoku,34.34794313,134.0501999
2023/2/1,233218,46312,218872,10256,0,12188,29334,5321,sikoku,34.34794313,134.0501999
2023/3/1,216610,0,172302,15401,0,12008,42364,3878,sikoku,34.34794313,134.0501999
2023/4/1,188475,0,124328,29772,0,10373,38404,5254,sikoku,34.34794313,134.0501999
2023/5/1,189203,8377,118447,40991,0,10281,44849,4015,sikoku,34.34794313,134.0501999
2023/6/1,199516,63350,144068,41904,0,7059,34626,2807,sikoku,34.34794313,134.0501999
2023/7/1,240859,65389,195520,34336,0,10119,45924,2675,sikoku,34.34794313,134.0501999
2023/8/1,247330,64763,232210,46002,0,9630,41371,4389,sikoku,34.34794313,134.0501999
2023/9/1,227282,62630,210919,31674,0,9245,40460,2579,sikoku,34.34794313,134.0501999
2023/10/1,188200,63684,170891,9545,0,11951,37484,4032,sikoku,34.34794313,134.0501999