都道府県,エリア,カラー
北海道,hokkaido,#9966CC
青森県,tohoku,#87CEFA
岩手県,tohoku,#87CEFA
宮城県,tohoku,#87CEFA
秋田県,tohoku,#87CEFA
山形県,tohoku,#87CEFA
福島県,tohoku,#87CEFA
新潟県,tohoku,#87CEFA
茨城県,tokyo,#B0E0E6
栃木県,tokyo,#B0E0E6
群馬県,tokyo,#B0E0E6
埼玉県,tokyo,#B0E0E6
千葉県,tokyo,#B0E0E6
東京都,tokyo,#B0E0E6
神奈川県,tokyo,#B0E0E6
山梨県,tokyo,#B0E0E6
富山県,hokuriku,#808080
石川県,hokuriku,#808080
福井県,hokuriku,#808080
長野県,chubu,#98FB98
岐阜県,chubu,#98FB98
静岡県,chubu,#98FB98
愛知県,chubu,#98FB98
三重県,chubu,#98FB98
滋賀県,kansai,#9ACD32
京都府,kansai,#9ACD32
大阪府,kansai,#9ACD32
兵庫県,kansai,#9ACD32
奈良県,kansai,#9ACD32
和歌山県,kansai,#9ACD32
鳥取県,chugoku,#FFD700
島根県,chugoku,#FFD700
岡山県,chugoku,#FFD700
広島県,chugoku,#FFD700
山口県,chugoku,#FFD700
徳島県,sikoku,#FFDAB9
香川県,sikoku,#FFDAB9
愛媛県,sikoku,#FFDAB9
高知県,sikoku,#FFDAB9
福岡県,kyushu,#FFB6C1
佐賀県,kyushu,#FFB6C1
長崎県,kyushu,#FFB6C1
熊本県,kyushu,#FFB6C1
大分県,kyushu,#FFB6C1
宮崎県,kyushu,#FFB6C1
鹿児島県,kyushu,#FFB6C1
沖縄県,okinawa,#008B8B