DATE,çáåv,ÉGÉäÉA
2019/4/1,58231,okinawa
2019/5/1,64297,okinawa
2019/6/1,73069,okinawa
2019/7/1,87242,okinawa
2019/8/1,88171,okinawa
2019/9/1,79046,okinawa
2019/10/1,72012,okinawa
2019/11/1,60040,okinawa
2019/12/1,58627,okinawa
2020/1/1,57549,okinawa
2020/2/1,54658,okinawa
2020/3/1,57504,okinawa
2020/4/1,53200,okinawa
2020/5/1,62749,okinawa
2020/6/1,79897,okinawa
2020/7/1,89190,okinawa
2020/8/1,88549,okinawa
2020/9/1,77045,okinawa
2020/10/1,69608,okinawa
2020/11/1,60490,okinawa
2020/12/1,59475,okinawa
2021/1/1,60772,okinawa
2021/2/1,51494,okinawa
2021/3/1,57448,okinawa
2021/4/1,56348,okinawa
2021/5/1,71455,okinawa
2021/6/1,61314,okinawa
2021/7/1,86158,okinawa
2021/8/1,85457,okinawa
2021/9/1,83027,okinawa
2021/10/1,71775,okinawa
2021/11/1,57375,okinawa
2021/12/1,57963,okinawa
2022/1/1,58237,okinawa
2022/2/1,53472,okinawa
2022/3/1,57799,okinawa
2022/4/1,59536,okinawa
2022/5/1,64926,okinawa
2022/6/1,77583,okinawa
2022/7/1,92234,okinawa
2022/8/1,93101,okinawa
2022/9/1,81018,okinawa
2022/10/1,70955,okinawa
2022/11/1,61165,okinawa
2022/12/1,58906,okinawa
2023/1/1,58522,okinawa
2023/2/1,51003,okinawa
2023/3/1,56874,okinawa
2023/4/1,57447,okinawa
2023/5/1,63809,okinawa
2023/6/1,76151,okinawa
2023/7/1,90397,okinawa
2023/8/1,83992,okinawa