DATE,���v,�G���A
2019/1/1,837115,tohoku
2019/2/1,743435,tohoku
2019/3/1,725035,tohoku
2019/4/1,643234,tohoku
2019/5/1,603757,tohoku
2019/6/1,597233,tohoku
2019/7/1,665272,tohoku
2019/8/1,715679,tohoku
2019/9/1,617861,tohoku
2019/10/1,610591,tohoku
2019/11/1,653841,tohoku
2019/12/1,753713,tohoku
2020/1/1,776014,tohoku
2020/2/1,738807,tohoku
2020/3/1,706896,tohoku
2020/4/1,630385,tohoku
2020/5/1,563160,tohoku
2020/6/1,579750,tohoku
2020/7/1,614586,tohoku
2020/8/1,692627,tohoku
2020/9/1,624856,tohoku
2020/10/1,612125,tohoku
2020/11/1,645886,tohoku
2020/12/1,804228,tohoku
2021/1/1,869506,tohoku
2021/2/1,754120,tohoku
2021/3/1,721050,tohoku
2021/4/1,624060,tohoku
2021/5/1,595486,tohoku
2021/6/1,609527,tohoku
2021/7/1,700533,tohoku
2021/8/1,695865,tohoku
2021/9/1,606607,tohoku
2021/10/1,631364,tohoku
2021/11/1,664470,tohoku
2021/12/1,805883,tohoku
2022/1/1,878685,tohoku
2022/2/1,793794,tohoku
2022/3/1,749159,tohoku
2022/4/1,616741,tohoku
2022/5/1,592495,tohoku
2022/6/1,617419,tohoku
2022/7/1,697324,tohoku
2022/8/1,679793,tohoku
2022/9/1,627796,tohoku
2022/10/1,619854,tohoku
2022/11/1,637850,tohoku
2022/12/1,797020,tohoku
2023/1/1,831691,tohoku
2023/2/1,739691,tohoku
2023/3/1,675111,tohoku
2023/4/1,582714,tohoku
2023/5/1,574114,tohoku
2023/6/1,584432,tohoku
2023/7/1,676819,tohoku
2023/8/1,751979,tohoku